metadata,question,answer,ground_truths,keywords,passed
{},UN100D는 어떤 프로세서를 장착하고 있나요?,죄송합니다. 이 질문에 대한 정확한 답변을 찾을 수 없습니다.,"['UN100D는 Intel N100 프로세서를 탑재하고 있습니다. 이 프로세서는 4코어 4스레드를 갖추고 있으며, Intel 7nm 공정으로 제작되었으며 TDP는 6W이며 최대 터보 부스트 클럭은 3.4 GHz입니다. 저전력 프로세서를 사용하기 때문에 기본 사무 작업에 적합하지만 고급 게임에는 적합하지 않습니다.']",['N100'],False
{},海狮07 EV两驱版最高车速是多少？,最高车速是一个车辆的重要性能指标。根据搜索结果，海狮07 EV两驱版的最高车速似乎没有直接的信息。很抱歉，我无法提供确切的答案。,['海狮07 EV两驱版的最高车速为225km/h'],['225'],False
{},大疆發布 Avata 2 無人機的電池容量是多少mAh？,"电池容量
大疆 Avata 2 无人机的电池容量是多少mAh？
大疆 Avata 2 无人机的电池容量为未知。抱歉，我无法提供关于 Avata 2 无人机电池容量的信息",['大疆發布的Avata 2無人機的電池容量為3400毫安時（mAh）。'],['3400'],False
{},갤럭시 S24의 화면 해상도는 어떻게 되나요?,"Galaxy S24 Display Resolution
The rumored display resolution for the Samsung Galaxy S24 is 2,316 x 1,080 pixels (FHD+). This would be the same resolution as the Galaxy S23 and S23+, which have displays that are 6.1 inches and 6.6 inches respectively.
The Galaxy S24 is expected to have a 6.1 inch AMOLED display like the S23. Leaks and rumors so far suggest the S24 will have a similar screen size and resolution as the S23 for the base model. If true, this would be lower than the Quad HD",['갤럭시 S24 기본 모델의 화면 해상도는 2340 x 1080 픽셀입니다'],"['2340', '1080']",False
{},ThinkPad L13 Gen3에는 몇 개의 Type-C 포트가 있나요?,ThinkPad L13 Gen3에는 Type-C 포트가 몇 개 있는지에 대한 정보는 제공되지 않았습니다. 추가적인 정보를 얻기 위해서는 Lenovo의 공식 웹사이트나 제품 설명서를 확인하는 것이 도움이 될 것입니다.,['ThinkPad L13 Gen3에는 USB 3.2 Gen 2 Type-C 포트 한 개와 USB 3.2 Gen 1 Type-C 포트 한 개가 있습니다.'],['Gen 2'],False
{},「IKU×MIRU」ご利用方法？,"使用「IKU×MIRU」的方法
「IKU×MIRU」 是一个相对较为模糊的",['契約後、My HISモバイルにログインし、「特典一覧・お申込みはこちらをご確認ください。」のリンクをクリックして、「特典一覧」を確認します。\n「特典一覧」内には、IKU×MIRUのクーポンコードが掲載されています。このコードをコピーしておきます。\nIKU×MIRUを利用するためには、特典一覧に掲載されている登録ページでクーポンを使って月間プランを申し込みます。\n月間プランを申し込んだ後、IKU×MIRU登録のメールアドレスで見放題対象コースを予約します。\n予約が完了すると、参加方法についてのメールが送られてきます。\n注意点として、クーポンコードは特典一覧に掲載されているIKU×MIRUの登録ページでのみ使用可能です。一般のHIS WEBサイトでは使用できません。また、IKU×MIRUの見放題サービスは自動継続されるため、無料期間終了後に料金が発生します。解約を希望する場合は、お申し込み日から30日目の22:59までに解約することで料金が発生しないことにご注意ください。'],"['特典一覧', 'クーポン']",False
{},His Mobileの440パッケージの5GBのデータはいくらですか？,申し訳ございませんが、その情報に関しては検索結果から適切な情報を見つけることができませんでした。,['HISモバイルのデータ定額440プランの5GBのデータは、月額料金で880円（税込）です。このプランでは、毎月5GBのデータ通信を利用することができます。料金は定額で一定なので、安心してご利用いただけます。'],['880'],False
{},HISモバイルのデータ定額440プラン（月額880円）に含まれる月間データ量は？,"HISモバイルのデータ定額440プラン（月額880円）に含まれる月間データ量は？
HISモバイルのデータ定額440プラン（月額880円）に含まれる月間データ量は、3GBです。",['HISモバイルのデータ定額440プランで月額880円の場合、含まれる月間データ量は7GBです。'],['7||5'],False
{},華為ADS 2.0 先進在哪裡？,"華為ADS 2.0 先進在哪裡？
華為ADS 2.0 是華為公司的一項先進技術，它涉及到 HarmonyOS 2.0 和 HMS Core 5.0。HarmonyOS 2.0 是華為的操作系統，而HMS Core 5.0 則是華為移動服務的一",['ADS 2.0系統的先進之處主要體現在以下幾個方面：\n創新性的激光融合GOD網絡：ADS 2.0搭載了業界首創的激光融合GOD網絡，能夠精準識別異形障礙物，如側翻車輛、掉落的大紙箱、落石、倒地大樹等，提高了駕駛的安全性。\n多傳感融合：通過激光雷達、毫米波雷達、攝像頭等多傳感融合的感知，即使在沒有高精地圖的情況下，也能對道路元素進行識別和理解，提高了駕駛的準確性和可靠性。\n覆蓋廣泛的城區高階智能駕駛場景：ADS 2.0系統可以覆蓋90%城區場景，讓日常通勤更加舒心。在複雜的交通路口、人車混行的場景中，系統能夠順利通行，主動超車換道、脫困換道，大大提升了出行效率。'],"['GOD', '不依賴高精地圖||沒有高精地圖']",False
{},馬自達J90A是新能源車嗎？,"馬自達J90A是新能源車嗎？
很抱歉，根據提供的搜索結果，我無法確定馬自達J90A是否屬於新能源車。如果您有其他問題，我很樂意幫助您解答。",['是的，馬自達J90A是一款新能源車。'],['是'],True
