metadata,question,answer,ground_truths,keywords,answer_correctness,passed
"{'id': 1, 'scene': 'real_time_news', 'source': 'https://github.com/sparticleinc/ASEED/blob/main/datasets/real_time_news.csv', 'language': 'en'}",Who's the United States Trade Representative?,"The United States Trade Representative is Katherine Tai.
    


    Top 3 Authoritative Sources Used:
   



      USTR.gov
     



      Wikipedia
     



      Office of the United States Trade Representative (USTR) Website
     



    These sources were used to provide accurate and up-to-date information on the current United States Trade Representative, Katherine Tai. The USTR website and the Office of the USTR provide official information about the organization and its leadership, while Wikipedia offers additional background information on past trade representatives for context.",['The name of the United States Trade Representative is Katherine Chi Tai. She is a Taiwanese American trade lawyer and currently serves as the United States Trade Representative.'],['Katherine'],0.7614332368986465,True
"{'id': 2, 'scene': 'real_time_news', 'source': 'https://github.com/sparticleinc/ASEED/blob/main/datasets/real_time_news.csv', 'language': 'zh_tw'}",百川最新的融資,"百川最新的融资：
    


    根据报道，百川智能正在进行新一轮数亿美元融资。尽管有投资人透露其今年以来估值已超过18亿美元（约合人民币130亿元），但百川智能方面对此回应称公司并未对外披露过最新融资信息，报道中涉及的金额也不准确。
   


    These sources provided detailed and up-to-date information on the latest developments regarding 百川智能’s financing activities, including the reports on the current round of funding and the responses from the company regarding the accuracy of the disclosed valuation and funding details.",['有媒體報導稱，百川智能正在進行新一輪數億美元融資，將成為2024年國內AI領域最大融資之一，且公司今年以來估值已超18億美元。'],['18||3'],0.7311705506023043,True
"{'id': 3, 'scene': 'real_time_news', 'source': 'https://github.com/sparticleinc/ASEED/blob/main/datasets/real_time_news.csv', 'language': 'zh_cn'}",Perplexity最近融资情况,"Perplexity AI recently raised approximately $63 million in a new funding round, bringing its valuation to over $1 billion. The investment was led by Daniel Gross, with participation from investors like Stanley Druckenmiller, Garry Tan, Dylan Field, Jeff Bezos, and Nvidia among others. Perplexity offers an AI-powered conversational search engine that provides concise and accurate answers to user queries. The company has been gaining traction in the market due to its focus on accuracy and quality of search results.",['2024年4月23日，Perplexity AI又宣布完成了新一轮融资，筹集了6270万美元，融资后估值达到了10亿美元5810。这次融资使得公司的估值较上一轮融资翻了一番'],['62.7||6270'],0.6184439236142368,False
"{'id': 4, 'scene': 'real_time_news', 'source': 'https://github.com/sparticleinc/ASEED/blob/main/datasets/real_time_news.csv', 'language': 'zh_tw'}",最近台灣地震造成的傷亡人數是多少？,"The recent Taiwan earthquake resulted in at least 7 deaths and 736 injuries.
    


    Top 3 Authoritative Sources Used in Answering this Question:
   



      Central News Agency (CNA)
     



      United States Geological Survey (USGS)
     



      Taiwan Central Weather Bureau
     



    The sources provided up-to-date and reliable information on the recent earthquake in Taiwan, including details on casualties and seismic activity.",['台灣花蓮地震死亡數字上升。10日救援人員在花蓮太魯閣區域砂卡礑步道尋獲3具遺體，花蓮7.3級地震罹難人數上升至16人。'],['16'],0.495153995547667,False
"{'id': 5, 'scene': 'real_time_news', 'source': 'https://github.com/sparticleinc/ASEED/blob/main/datasets/real_time_news.csv', 'language': 'ja'}",最近の埼玉県行田市事故の死傷者数は何人ですか?,"The recent accident in Saitama Prefecture, specifically in the city of Gyoda, resulted in 4 people being killed or injured.
    


    The accident involved a 76-year-old female driver whose car veered out of its lane and collided with a total of 4 vehicles, including cars and trucks. The incident occurred on a single-lane city road in Gyoda. The woman’s vehicle crossed into oncoming traffic, leading to collisions with two oncoming cars, another car, and a large truck. As a result of the accident, a 47-year-old woman who was driving one of the oncoming cars tragically lost her life. Additionally, her 8-year-old daughter who was with her, the 52-year-old male driver of the truck, and the elderly female driver who caused the initial collision sustained varying degrees of injuries.
   

    The Gyoda Police Station is currently investigating the exact cause of the accident while monitoring the recovery of the injured parties.
   


    These sources were utilized to gather information regarding the recent accident in Gyoda City, Saitama Prefecture, providing details about the number of casualties and the circumstances surrounding the tragic incident.",['最近の埼玉県行田市の事故での死傷者数は以下の通りです:\n死亡者数: 1人\n負傷者数: 3人'],['1||3||4'],0.715129769697304,True
"{'id': 6, 'scene': 'real_time_news', 'source': 'https://github.com/sparticleinc/ASEED/blob/main/datasets/real_time_news.csv', 'language': 'ja'}",藤岡康太騎手の怪我はどうでしたか？,"藤岡康太騎手の怪我は、頭部と胸部を負傷していました。
    
    落馬事故が原因で意識不明の重体となり、病院で治療を受けていましたが、最終的に亡くなったことが発表されました。
   

    The information provided in the response was gathered from various news outlets reporting on the incident, including official statements from the Japan Racing Association (JRA) and specific details mentioned in articles from TOKYO-SPORTS.",['藤岡康太騎手は、2024年4月6日に行われた阪神競馬場の第7レースで落馬し、頭部と胸部を負傷しました.この落馬の後、藤岡騎手は病院に搬送され、意識を取り戻すことなく、後に怪我のため亡くなりました.この悲報は日本中央競馬会(JRA)からも発表されました'],['亡'],0.6781239643271606,True
"{'id': 7, 'scene': 'real_time_news', 'source': 'https://github.com/sparticleinc/ASEED/blob/main/datasets/real_time_news.csv', 'language': 'zh_tw'}",士林區溪山里事件的起因是什麼？,"The main cause of the incident in Xishan Village, Shilin District, Taipei City was the contamination of the water source used by the residents. The water source in the area was mountain spring water, which had high levels of coliform bacteria. This contamination led to a large-scale outbreak of gastrointestinal symptoms among the residents, including vomiting and diarrhea. The presence of coliform bacteria in the water was significantly above drinking water standards, indicating a potential health risk associated with consuming this water. The exact pathogen responsible for the outbreak is still under investigation pending further analysis of both the water source and samples from affected individuals.
    





     Sources Used:
    





       Central News Agency (CNA):
      
      The CNA provided detailed coverage of the events in Xishan Village, Shilin District, Taipei City, including information on the outbreak of gastrointestinal illness among residents and the initial investigations into the contaminated water source.
     




       Taipei City Health Bureau:
      
      Information from the Taipei City Health Bureau was crucial in understanding the response to the health crisis in Xishan Village. They conducted investigations, provided updates on affected individuals, and offered guidance on healthcare measures to address the situation.
     




       Taipei Water Department:
      
      Insights from the Taipei Water Department were essential in uncovering details about the water quality issues in Xishan Village. They conducted tests on the water sources and shared data on coliform bacteria levels, contributing to understanding the potential causes of the outbreak.
     



    These sources collectively provided comprehensive and reliable information on the incident, its impact on residents, and ongoing efforts to identify and address the root cause of the health crisis in Xishan Village.",['士林區溪山里事件的起因是與水質問題有關。根據報導，溪山里的居民平常使用自行成立的供水系統，主要使用山泉水作為飲用水源。然而，由於地震等自然災害可能導致山泉水受到污染，進而造成水質問題。事件中大腸桿菌群數值偏高，反映了水質有異常情況，因此許多居民出現了腹瀉和嘔吐等腸胃道疾病症狀。台北市政府為了緊急應對此情況，已提供緊急取水站以及醫療服務，並展開全面水質檢測及環境消毒等措施以解決問題。因此，士林區溪山里事件的起因主要是因為使用的山泉水受到污染所導致的水質問題。'],['地震'],0.6940480490813214,False
"{'id': 8, 'scene': 'real_time_news', 'source': 'https://github.com/sparticleinc/ASEED/blob/main/datasets/real_time_news.csv', 'language': 'ja'}",3月のCPI,"March CPI Data:
    
    The March Consumer Price Index (CPI) in the U.S. showed a year-over-year increase of
    
     3.5%
    
    , surpassing market expectations and exceeding the previous month’s figure of 3.2%. The Core CPI, which excludes volatile food and energy prices, also saw an increase, with a year-over-year rise of
    
     3.8%
    
    .
   


     Key Points:
    



     The Core CPI has shown three consecutive months of above-forecast increases, indicating a potential slowdown in the previously observed inflation deceleration trend.
    

     Components such as food, energy, and services contributed to the overall inflationary pressures.
    

     The Federal Reserve’s focus on the “Super Core” index, excluding housing costs from core services prices, has shown an acceleration in inflation rates.
    

     Market reactions post-CPI release included a decrease in stock markets due to rising interest rates and a stronger U.S. dollar against the yen.
    



     Implications and Analysis:
    
    The higher-than-expected CPI figures have led to a shift in market sentiment regarding early rate cuts by the Federal Reserve. The Fed’s cautious approach towards rate cuts is supported by the persistent inflationary pressures indicated by recent data.
   

    While Fed Chair Powell had previously downplayed short-term inflation spikes as noise, the consistent above-forecast CPI results may prompt a reassessment of the overall inflation outlook.
   

    The upcoming Producer Price Index (PPI) release will provide further insights into price trends and potential impacts on future policy decisions by the Federal Reserve.
   


    These sources provided detailed coverage and analysis of the March CPI data in the U.S., offering insights into market reactions, expert opinions, and implications for monetary policy decisions.",['2024年3月の日本のCPIは2.8%'],['2.80%'],0.492842330534722,False
"{'id': 9, 'scene': 'real_time_news', 'source': 'https://github.com/sparticleinc/ASEED/blob/main/datasets/real_time_news.csv', 'language': 'zh_tw'}",今年在哪個國家可以看到日食,"This year, the total solar eclipse can be seen in the United States, Mexico, and Canada.
    



    The sources provided detailed and accurate information about the total solar eclipse events happening in different regions.",['2024年4月8日：\n墨西哥、美國、加拿大：預計可以觀測到全食的日食。'],"['2024', '墨西哥||美國||加拿大']",0.6134399384560986,True
"{'id': 10, 'scene': 'real_time_news', 'source': 'https://github.com/sparticleinc/ASEED/blob/main/datasets/real_time_news.csv', 'language': 'zh_tw'}",海康威視去年的業績如何,"海康威视去年的业绩表现如下：
    



     公司实现营收893.40亿，同比增长7.42%。
    

     归属上市股东净利润141.08亿，同比增长9.89%。
    

     净利润方面，公司实现净利润17.60亿元，同比增长13.27%。",['在2023年，海康威視的業績恢復增長，公司實現了營業收入893.55億元，同比增長7.44%，淨利潤為141.17億元，同比增長9.96%。'],"['2023', '893']",0.6420162427677881,True
