id,query,ground_truth,assertion_type,assertion_value,language,description
1,"Which movie is longer, Hamlet or Gone with the Wind","The movie that is longer is Hamlet.
The key details are:
Hamlet (1996) directed by Kenneth Branagh has a runtime of 242 minutes (4 hours 2 minutes) 
Gone with the Wind (1939) has a runtime of 221 minutes (3 hours 41 minutes) ",llm-rubric,Hamlet,en,
2,Which player was awarded the most number of Man of the match titles in the FIFA world cup of 2006?,"the player who was awarded the most number of Man of the Match titles in the 2006 FIFA World Cup was Andrea Pirlo of the Italy national team, who won 3 such awards",icontains,Andrea Pirlo,en,
3,Which award received in 2003 by the movie The Ring?,MTV Movie Award for Best Villain,icontains,Best Villain,en,
4,What is the date of publication of the first book of the Outland series?,"The first book in the Outlander series, titled ""Outlander"" (published as ""Cross Stitch"" in the UK, Australia, and New Zealand), was published on June 1, 1991.",contains,1991,en,
5,家里有孩子，怕狂犬病，养乌龟好，还是养茶杯犬好？,家里有孩子的话，养乌龟可能比茶杯犬更安全一些。乌龟不会像狗狗那样咬人或传播狂犬病。,llm-rubric,乌龟,zh_cn,
6,周传雄有哪些代表作品，播放量最高的事哪首,周传雄有哪些代表作品有：黄昏、寂寞沙洲冷、关不上的窗、冬天的秘密、我难过、青花、我的心太乱、男人海洋。周传雄代表作品中播放量最高的应该是《青花》。,contains-any,"黄昏,青花",zh_cn,
7,迷迭香精油的作用和用法,迷迭香精油的功效：消毒杀菌、增强记忆、有益于头发生长、调理呼吸系统、缓解肌肉酸痛。迷迭香精油的正确使用方法：涂抹法、按摩法、熏香法。,"	llm-rubric",需要分别提到“主要功效”和 “使用方法”，功效大概有缓解压力，促进头发生长等等。使用方法大概有按摩，扩香等等。,zh_cn,
8,吉布斯自由能和化学平衡常数的关系,"吉布斯自由能和化学平衡常数之间有以下关系:
1. 标准吉布斯自由能变化(ΔG°)与标准平衡常数(K°)之间有以下关系:
ΔG° = -RTlnK°
其中,R是气体常数,T是绝对温度。这个公式表明,当反应的标准吉布斯自由能变化减小时,标准平衡常数就会增大,反应越容易达到平衡。
1. 在化学平衡状态下,反应物和产物的吉布斯自由能之和达到最小值。平衡时,反应的吉布斯自由能变化ΔG = 0。
2. 平衡常数K与反应的吉布斯自由能变化ΔG的关系为:
ΔG = -RTlnK
这表明,当ΔG < 0时,K > 1,反应自发进行;当ΔG > 0时,K < 1,反应不自发进行。总之,吉布斯自由能变化和平衡常数K之间存在着密切的数学关系,可以相互推算。知道其中一个,就可以计算出另一个。这对于判断反应的自发性和预测反应的平衡组成都很有帮助。","	llm-rubric",ΔG°=-RT lnK,zh_cn,
9,劉德華比周傳雄（小剛）大幾歲？,劉德華出生於1961年9月27日，而周傳雄（小剛）則出生於1969年6月7日。因此，劉德華比周傳雄大約8年。,llm-rubric,大8岁 或 7年9个月,zh_tw,
10,台灣的兩條鐵路線會加掛另一個機車頭作為補機用，一條是東部幹線宜蘭段，另一條是?,在台灣，有兩條鐵路線通常會加掛另一個機車頭作為補機用。其中一條是東部幹線宜蘭段，而另一條則是縱貫鐵路山線段。,llm-rubric,縱貫鐵路山線段,zh_tw,
11,為何參觀一線天必須要經過地方軍事首長允許？,造成遊客參觀一線天必須經過地方軍事首長允許的原因是因為一線天目前仍屬重要軍事基地。,llm-rubric,原因之一是 重要軍事基地 或 軍事管制區 ,zh_tw,
12,臺灣2022年GDP總量相比2012年增加了多少美元？,"2022年台灣的GDP總量為760,460兆美元，而2012年的GDP總量為495,610兆美元。因此，從2012年到2022年，台灣的GDP總量增加了760,460−495,610=264,850兆美元。",llm-rubric,264.85 billion,zh_tw,
13,麻生太郎は酒井法子より何歳年上ですか。,麻生太郎は酒井法子より31歳年上です。,llm-rubric,"30, 31,32",ja,
14,『たなばたま』童謡と『ラブ·ソー·スウィート』の発行期間はそれぞれ何年ですか？,"たなばたま”は1941年(昭和16年)に発行された。
“ラブ·ソー·スウィート”というシングルは、日本の男性アイドルグループ·AKB 48からリリースされ、リリース期間は2007年2月21日。",contains-all,"‘1941’,‘2007’",ja,
15,料理研究家の尚道子によって考案された、ウインナーを箸でつかみやすくするために、ある海の生き物に似せた飾り切りをしたものを何というでしょう?,尚道子によって考案された、ウインナーを箸でつかみやすくするために、タコに似せた飾り切りをしたものは「たこさんウィンナー」と呼ばれています。,llm-rubric,たこさんウィンナー,ja,
16,1987年に第1作がリリースされた、カプコンの格闘ゲームシリーズで、昇龍拳や竜巻旋風脚などの技が登場するのは何ですか？,『ストリートファイター』シリーズです。,llm-rubric,ストリートファイター,ja,
17,북한과 한국은 각각 어느 해에 중국과 수교를 맺습니까?,"조선민주주의인민공화국(북한)과 중화인민공화국(중국)은 1949년 10월 6일 수교했으며, 북한은 중국과 수교한 첫 나라 중 하나다. 
중국과 대한민국(한국)은 1992년 8월 24일 정식으로 외교관계를 수립했다.",contains-all,"1949, 1992",ko,
18,이명박과 박정희 중 누가 더 높은 교육을 받았습니까?,이명박 대통령의 교육 수준이 박정희 대통령보다 높습니다. ,llm-rubric,이명박 교육 수준 더 높아,ko,
19,когда Россия установила дипломатические отношения с Южной Кореей и когда она выиграла Крым?,"Южная Корея установила дипломатические отношения с Россией в 1990 году, а Россия выиграла Крым в 2014 году.",contains-all,"1990, 2014",ru,
20,когда Россия приобрела Сибирь и когда продала Аляску?,"Россия оккупировала Сибирское ханство в 1581 году, положив начало завоеванию Сибири. 
30 марта 1867 года Россия продала Аляску США за 7,2 миллиона долларов.",contains-all,"1581, 1867",ru,
