id,query,ground_truth,expect_key_words,expect_sources,description
0,Guru 2022年的收入是多少？,2022 年总收入增长 35%，达到 1.36 亿新元，各细分市场同比增长超过 20%,136||1.36,,
1,Wisio是什么程序？,Wisio是一个AI驱动的写作助手，旨在帮助科学家、研究人员和学生创建和发布科学论文。它提供了一系列功能，包括基于输入和目标关键词的人工智能建议、在Pubmed中搜索引证、将文本翻译为科学英语以及英文纠错工具等,科学&&研究,,
2,乔治敦大学第十任校长是谁？,乔治敦大学第十任校长是Most Rev. Benedict J. Fenwick S.J.*,Most Rev,,
3,CodenQuest有什么用？,"CodenQuest是一款专注于编程练习和学习的应用程序,通过游戏化设计和智能编辑器功能,为用户提供了一个便捷、有趣且高效的编程学习平台",编程&&游戏,,
4,韦仕敦大学第十任校长是谁？,Chakma 在滑铁卢大学担任副校长、学术兼教务长八年后，他于 2009 年 7 月成为西安大略大学第十任校长兼副校长。,Chakma,,
5,多层建模和仿真的设计模式 出版社是哪家？,多层建模和仿真的设计模式 出版社是IEEE,IEEE,,
6,使用动态模式分解进行波和湍流分离论文的作者是谁？,使用动态模式分解进行波和湍流分离 的作者是胡里奥·查韦斯·多拉多,Julio||胡里奥,,
7,dashworks的销售收入是多少?,Dashworks 2023年的营收是$289.3K,289.3K||289.3,,
8,福特汽车第十任ceo是谁？,福特汽车第十任CEO是艾伦·穆拉利,艾伦·穆拉利,,
9,Algolia 总部在哪里？,Algolia 总部位于加利福尼亚州旧金山,旧金山||帕洛阿尔托,,
10,一维空间中经典三体系统的热化模拟论文的作者是谁？,一维空间中经典三体系统的热化模拟论文的作者是M.Eltohfa,M. Eltohfa||M Eltohfa,,
11,Happeo 2023收入是多少？,550万美元,550||5.5,https://getlatka.com/companies/happeo,
12,Algolia 总部在哪里？,旧金山,旧金山,https://www.algolia.com/policies/legal/,
13,Notion 最新估值,103亿美元,103||10.3,https://zh.wikipedia.org/wiki/Notion,
14,一种模块化和强健的基于物理的方法用于无透镜图像重建 这篇论文的测量方法采用了哪三个组件组成？,它由三个组件组成：一个新提出的预处理器、一个基于物理的相机逆变器（用于取消无镜头成像的多路复用）以及一个后处理器。,预处理器&&相机逆变器&&后处理器,,
15,Dub.co有什么功能？,Dub.co是一个提供链接缩短服务的平台，它不仅限于基础的短链接创建，还内建了一系列强大的功能，专门为现代营销团队设计。其中包括但不限于实时数据分析、定制品牌链接、以及市场营销活动的管理工具,链接,,
