metadata,question,answer,ground_truths,keywords,answer_correctness,passed
"{'id': 1, 'scene': 'products_search', 'source': 'https://github.com/sparticleinc/ASEED/blob/main/datasets/products_search.csv', 'language': 'ko'}",UN100D는 어떤 프로세서를 장착하고 있나요?,"UN100D搭载的是英特尔N100处理器，具有4个核心和4个线程，以及6MB的缓存。其基础时钟速度为1.8 GHz，涡轮增压下最高可达3.4 GHz。
","['UN100D는 Intel N100 프로세서를 탑재하고 있습니다. 이 프로세서는 4코어 4스레드를 갖추고 있으며, Intel 7nm 공정으로 제작되었으며 TDP는 6W이며 최대 터보 부스트 클럭은 3.4 GHz입니다. 저전력 프로세서를 사용하기 때문에 기본 사무 작업에 적합하지만 고급 게임에는 적합하지 않습니다.']",['N100'],0.7404765334401608,True
"{'id': 2, 'scene': 'products_search', 'source': 'https://github.com/sparticleinc/ASEED/blob/main/datasets/products_search.csv', 'language': 'zh_cn'}",海狮07 EV两驱版最高车速是多少？,"海狮07 EV两驱版的最高车速为225km/h。
",['海狮07 EV两驱版的最高车速为225km/h'],['225'],0.6991309480568169,True
"{'id': 3, 'scene': 'products_search', 'source': 'https://github.com/sparticleinc/ASEED/blob/main/datasets/products_search.csv', 'language': 'zh_tw'}",大疆發布 Avata 2 無人機的電池容量是多少mAh？,"大疆发布的Avata 2无人机的电池容量是2150mAh。然而，有一份证据提到了一个不同的电池容量，即3400毫安时，但这可能是指另一个型号或者是错误信息，因为大多数证据都明确指出Avata 2的电池容量为2150mAh。此外，还有一份证据提到了2450毫安时的电池容量，这同样可能是针对不同型号的信息或者是误报。因此，根据大量一致的证据，可以确定大疆Avata 2无人机的标准电池容量为2150mAh。
",['大疆發布的Avata 2無人機的電池容量為3400毫安時（mAh）。'],['3400'],0.5583324463545325,True
"{'id': 4, 'scene': 'products_search', 'source': 'https://github.com/sparticleinc/ASEED/blob/main/datasets/products_search.csv', 'language': 'ko'}",갤럭시 S24의 화면 해상도는 어떻게 되나요?,"三星Galaxy S24系列的屏幕分辨率根据不同的型号有所不同。Galaxy S24采用了6.2英寸的Dynamic AMOLED屏幕，分辨率为2340x1080，支持120Hz自适应刷新率。而Galaxy S24+和Galaxy S24 Ultra则提供了更高的分辨率。S24+的屏幕分辨率为3120x1440，这是一个QHD+级别的分辨率。同样，Galaxy S24 Ultra也配备了分辨率为3120x1440的第二代动态AMOLED显示屏。因此，可以总结说，三星Galaxy S24系列中，标准版S24的屏幕分辨率为2340x1080，而S24+和S24 Ultra的屏幕分辨率为3120x1440。
",['갤럭시 S24 기본 모델의 화면 해상도는 2340 x 1080 픽셀입니다'],"['2340', '1080']",0.6347287882451601,True
"{'id': 5, 'scene': 'products_search', 'source': 'https://github.com/sparticleinc/ASEED/blob/main/datasets/products_search.csv', 'language': 'ko'}",ThinkPad L13 Gen3에는 몇 개의 Type-C 포트가 있나요?,"ThinkPad L13 Gen3拥有2个USB Type-C接口。
",['ThinkPad L13 Gen3에는 USB 3.2 Gen 2 Type-C 포트 한 개와 USB 3.2 Gen 1 Type-C 포트 한 개가 있습니다.'],['Gen2||Gen 2'],0.5767502389685181,False
"{'id': 6, 'scene': 'products_search', 'source': 'https://github.com/sparticleinc/ASEED/blob/main/datasets/products_search.csv', 'language': 'ja'}",「IKU×MIRU」ご利用方法？,"「IKU×MIRU」是一种在线体验旅游服务，允许用户通过网络连接体验世界各地的旅游活动。以下是使用「IKU×MIRU」的方法：
1.2. 申请加入：用户可以通过填写申请表格来加入「IKU×MIRU」服务。


免费试用期：新用户可以享受30天的免费试用期，在此期间内可以无限制地体验所有提供的在线旅游课程。


付费计划：如果用户希望继续使用服务超过30天，需要根据所选的计划支付月费。5. 利用旅行前的准备：「IKU×MIRU」可以帮助用户进行旅行前的预习和调查，帮助他们更好地选择旅行目的地。


注意试用期结束后的操作：如果用户在30天试用期后决定不继续订阅服务，需要记得取消订阅以避免产生额外费用。


「IKU×MIRU」提供了一个便捷的方式来体验全球各地的旅游活动，通过网络连接，用户可以在家中享受到真实的旅游体验。用户可以根据自己的需求选择合适的课程和付费计划，享受长达30天的免费体验期。
",['契約後、My HISモバイルにログインし、「特典一覧・お申込みはこちらをご確認ください。」のリンクをクリックして、「特典一覧」を確認します。\n「特典一覧」内には、IKU×MIRUのクーポンコードが掲載されています。このコードをコピーしておきます。\nIKU×MIRUを利用するためには、特典一覧に掲載されている登録ページでクーポンを使って月間プランを申し込みます。\n月間プランを申し込んだ後、IKU×MIRU登録のメールアドレスで見放題対象コースを予約します。\n予約が完了すると、参加方法についてのメールが送られてきます。\n注意点として、クーポンコードは特典一覧に掲載されているIKU×MIRUの登録ページでのみ使用可能です。一般のHIS WEBサイトでは使用できません。また、IKU×MIRUの見放題サービスは自動継続されるため、無料期間終了後に料金が発生します。解約を希望する場合は、お申し込み日から30日目の22:59までに解約することで料金が発生しないことにご注意ください。'],['特典一覧||クーポン||Special Benefits||Coupon '],0.5336986397920171,False
"{'id': 7, 'scene': 'products_search', 'source': 'https://github.com/sparticleinc/ASEED/blob/main/datasets/products_search.csv', 'language': 'ja'}",His Mobileの440パッケージの5GBのデータはいくらですか？,"HIS Mobileの440パッケージの5GBのデータ料金は、390円です。
",['HISモバイルのデータ定額440プランの5GBのデータは、月額料金で880円（税込）です。このプランでは、毎月5GBのデータ通信を利用することができます。料金は定額で一定なので、安心してご利用いただけます。'],['880'],0.5644169331038641,False
"{'id': 7, 'scene': 'products_search', 'source': 'https://github.com/sparticleinc/ASEED/blob/main/datasets/products_search.csv', 'language': 'ja'}",HISモバイルのデータ定額440プラン（月額880円）に含まれる月間データ量は？,"HISモバイルの「データ定額440プラン」の月間データ量は1GBです。
",['HISモバイルのデータ定額440プランで月額880円の場合、含まれる月間データ量は7GBです。'],['7||5'],0.8555891903037964,False
"{'id': 9, 'scene': 'products_search', 'source': 'https://github.com/sparticleinc/ASEED/blob/main/datasets/products_search.csv', 'language': 'zh_tw'}",華為ADS 2.0 先進在哪裡？,"华为ADS 2.0的先进之处主要体现在以下几个方面：


不依赖高精地图：华为ADS 2.0在技术上取得了重大突破，不再完全依赖高精度地图进行导航。它可以通过多传感器融合与深度学习算法实时感知并理解道路环境。这意味着即使在没有高精地图的情况下，系统也能准确识别和处理道路信息，提高了驾驶的安全性和便利性。


智能安全保护：华为ADS 2.0能够以超越人眼观察的效率，完成对可能发生的一切风险的检测，为用户带来领先同级的智能安全保护。例如，问界M5智驾版拥有行业内最高的识别""鬼探头""刹停速度，部分场景的最高识别刹停速度达到60 km/h。


功能套餐多样化：华为ADS 2.0提供了三种不同的功能套餐，包括基础套餐、进阶套餐等，涵盖了主动安全辅助、自适应巡航辅助、360°全景环视、高速车道巡航辅助、城区车道巡航辅助、智能泊车辅助以及遥控泊车辅助等多种功能。


激光融合GOD网络：华为ADS 2.0搭载了业界首创的激光融合GOD网络，使得障碍识别更精准，即便是在复杂的交通场景中也能保证安全。


基于道路拓扑推理网络的升级：相比于前一代，ADS 2.0基于道路拓扑推理网络进一步增强，即使无高精地图也能看懂路，红绿灯等各种道路元素，使得无图也能开。


全国高速路段开放NCA功能：通过最新的OTA更新，华为ADS 2.0在全国高速路段开放了NCA（导航辅助驾驶）功能，优化了驾驶体验。


华为ADS 2.0的先进之处在于其不依赖高精地图的技术突破、强大的智能安全保护能力、多样化的功能套餐、业界首创的激光融合GOD网络、基于道路拓扑推理网络的升级以及全国高速路段开放的NCA功能，这些特点共同提升了驾驶的安全性、便利性和舒适性。
",['ADS 2.0系統的先進之處主要體現在以下幾個方面：\n創新性的激光融合GOD網絡：ADS 2.0搭載了業界首創的激光融合GOD網絡，能夠精準識別異形障礙物，如側翻車輛、掉落的大紙箱、落石、倒地大樹等，提高了駕駛的安全性。\n多傳感融合：通過激光雷達、毫米波雷達、攝像頭等多傳感融合的感知，即使在沒有高精地圖的情況下，也能對道路元素進行識別和理解，提高了駕駛的準確性和可靠性。\n覆蓋廣泛的城區高階智能駕駛場景：ADS 2.0系統可以覆蓋90%城區場景，讓日常通勤更加舒心。在複雜的交通路口、人車混行的場景中，系統能夠順利通行，主動超車換道、脫困換道，大大提升了出行效率。'],['GOD&||不依賴高精地圖||沒有高精地圖||无高精地图||不需高精地圖'],0.6403323956074876,True
"{'id': 10, 'scene': 'products_search', 'source': 'https://github.com/sparticleinc/ASEED/blob/main/datasets/products_search.csv', 'language': 'zh_tw'}",馬自達J90A是新能源車嗎？,"马自达J90A是一款新能源车。这款车型将基于纯电平台打造，并且兼容纯电和增程动力。此外，它还被描述为基于长安EPA混动平台打造的新能源车型。这表明马自达J90A不仅支持纯电动汽车的驾驶模式，还能通过增程技术扩展行驶范围，符合当前新能源汽车的发展趋势。因此，可以确认马自达J90A是新能源车。
",['是的，馬自達J90A是一款新能源車。'],['是||Yes'],0.7024398317986579,True
