metadata,question,answer,ground_truths,keywords,answer_correctness,passed
"{'id': 2, 'scene': 'real_time_news', 'source': 'https://github.com/sparticleinc/CRED/blob/main/datasets/real_time_news.csv', 'language': 'zh-cn'}",海康威视去年的业绩如何,"根据搜索结果,海康威视2022年的业绩如下:

2022年实现营收约831.66亿元,同比增长2.14%。45
归母净利润约128.37亿元,同比下降23.59%。4
扣非归母净利润约123.3亿元,同比下降25.02%。4
2022年第四季度实现营业收入约234.4亿元,同比下降约9.1%；归母净利润约39.97亿元,同比下降约31.5%；扣非归母净利润约38.05亿元,同比下降33.8%。4

总的来说,海康威视2022年业绩有所下滑,主要受到全球宏观经济波动、地缘政治等因素的影响。4 但公司表示随着国内经济复苏,2023年业绩有望逐季向好。4",['在2023年，海康威视的业绩恢复增长，公司实现了营业收入893.55亿元，同比增长7.44%，净利润为141.17亿元，同比增长9.96%。'],"['2023', '893.55||893']",0.5704835996763402,False
"{'id': 3, 'scene': 'real_time_news', 'source': 'https://github.com/sparticleinc/CRED/blob/main/datasets/real_time_news.csv', 'language': 'zh-cn'}",百川最新的融资,"根据搜索结果,关于百川智能最新融资的情况如下:
百川智能否认了最新一轮数亿美元融资的报道12。百川智能回应称,公司并未对外披露过最新融资信息,报道中涉及的金额也不准确。
尽管有多家媒体报道称百川智能正在进行新一轮数亿美元融资,并且估值已超18亿美元(约合人民币130亿元)345,但百川智能方面并未正式确认这一消息。有知情人士透露,目前融资尚未最终完成,具体估值可能会有出入4。
综上所述,百川智能最新的融资情况并不明确,公司方面否认了这些报道,具体融资金额和估值仍有待确认。12","['有媒体报道称,百川智能正在进行新一轮数亿美元融资,将成为2024年国内AI领域最大融资之一,且公司今年以来估值已超18亿美元']",['18'],0.5594908067812618,False
"{'id': 4, 'scene': 'real_time_news', 'source': 'https://github.com/sparticleinc/CRED/blob/main/datasets/real_time_news.csv', 'language': 'ja'}",最近の台湾の地震での死傷者数は何人ですか?,"最近の台湾の地震での死傷者数は以下の通りです:

4月3日に発生したマグニチュード7.2の地震では、これまでに9人が死亡し、1,038人が負傷しています34。
行方不明者は48人で、そのうち42人はホテル従業員です4。
消防当局は4日、鉱区で身動きが取れなくなっていた6人をヘリコプターで救出したと明らかにしています4。

つまり、この地震による死者は9人、負傷者は1,038人、行方不明者は48人となっています。救助活動が続けられており、被害状況の把握が進んでいます12345。",['台灣花蓮地震死亡數字上升。10日救援人員在花蓮太魯閣區域砂卡礑步道尋獲3具遺體，花蓮7.3級地震罹難人數上升至16人。'],['16'],0.5311550138354443,False
"{'id': 5, 'scene': 'real_time_news', 'source': 'https://github.com/sparticleinc/CRED/blob/main/datasets/real_time_news.csv', 'language': 'ja'}",最近の埼玉県行田市事故の死傷者数は何人ですか?,"最近の埼玉県行田市の交通事故の死傷者数は以下のとおりです:

2024年4月5日の事故では、普通乗用自動車同士の衝突事故で1人が死亡しました25。
2023年8月4日の事故では、事業用大型貨物自動車と普通自動二輪車の事故で1人が死亡しました15。
2022年5月25日の事故では、準中型貨物自動車と第二種原動機付自転車の事故で1人が死亡しました5。
2021年12月11日の事故では、中型貨物車と自転車の事故で1人が死亡しました5。
2021年1月20日の事故では、乗用車が壁に衝突し1人が死亡しました5。

したがって、最近の埼玉県行田市の交通事故による死者数は合計5人となります125。負傷者数については、2024年2月末時点で27人となっています1。",['最近の埼玉県行田市の事故での死傷者数は以下の通りです:\n死亡者数: 1人\n負傷者数: 3人'],['1||3||4'],0.5788037150039126,False
"{'id': 6, 'scene': 'real_time_news', 'source': 'https://github.com/sparticleinc/CRED/blob/main/datasets/real_time_news.csv', 'language': 'ja'}",藤岡康太騎手の怪我はどうでしたか？,"藤岡康太騎手の怪我は非常に深刻でした。123

4月6日の阪神7Rの落馬事故で、頭部と胸部に重傷を負いました。
事故後、意識不明の重体状態が続き、4月10日に35歳で亡くなりました。13
過去にも他の騎手が落馬事故で命を落とした例があり、騎手は常に危険と隣り合わせの職業であることが分かります。12
落馬事故では骨折や意識不明の重体になるリスクがあり、元騎手の瀧川寿希也氏も15回の骨折と意識不明の重体経験があると述べています。2

つまり、藤岡康太騎手の怪我は致命的なものであり、落馬事故の危険性が改めて浮き彫りになった事故だったと言えます。",['藤岡康太騎手は、2024年4月6日に行われた阪神競馬場の第7レースで落馬し、頭部と胸部を負傷しました.この落馬の後、藤岡騎手は病院に搬送され、意識を取り戻すことなく、後に怪我のため亡くなりました.この悲報は日本中央競馬会(JRA)からも発表されました'],['亡'],0.753239013763174,True
"{'id': 7, 'scene': 'real_time_news', 'source': 'https://github.com/sparticleinc/CRED/blob/main/datasets/real_time_news.csv', 'language': 'zh-tw'}",士林區溪山里事件的起因是什麼？,"根據搜索結果,士林區溪山里事件的起因如下:


2020年台北市立美術館舉辦台北雙年展時,一位法國藝術家提出「儲回大地的藝術」計畫,希望透過在大崙尾山公有林地造林來達成碳中和。3


為此,台北市工務局委託台北市林業技師公會和屏東科技大學森林系在大崙尾山公有林地進行伐除部分次生林,改種1萬2000棵以台灣肖楠為主的樹種。3


這項造林計畫引發了當地居民和環保團體的爭議,他們擔心會誤砍稀有樹種,並質疑為何不選擇原本沒有樹的荒地造林。3


此外,大直損鄰案也引發了議員和里長之間的隔空交火。里長曹邦全表示,說明會是希望給災民充分知的權利,而不是為基泰未來復工舖路。4


總之,士林區溪山里事件的起因主要是大崙尾山公有林地的砍樹造林計畫,以及大直損鄰案引發的民代紛爭。134",['士林區溪山里事件的起因是與水質問題有關。根據報導，溪山里的居民平常使用自行成立的供水系統，主要使用山泉水作為飲用水源。然而，由於地震等自然災害可能導致山泉水受到污染，進而造成水質問題。事件中大腸桿菌群數值偏高，反映了水質有異常情況，因此許多居民出現了腹瀉和嘔吐等腸胃道疾病症狀。台北市政府為了緊急應對此情況，已提供緊急取水站以及醫療服務，並展開全面水質檢測及環境消毒等措施以解決問題。因此，士林區溪山里事件的起因主要是因為使用的山泉水受到污染所導致的水質問題。'],['地震'],0.5357926551790129,False
"{'id': 8, 'scene': 'real_time_news', 'source': 'https://github.com/sparticleinc/CRED/blob/main/datasets/real_time_news.csv', 'language': 'ja'}",3月のCPI,"3月の米国消費者物価指数(CPI)は以下のように推移しました:

総合CPI: 前年同月比+3.5%となり、市場予想の+3.4%を上回りました。前月の+3.2%からも上昇しています。3
コアCPI(食品・エネルギーを除く): 前年同月比+3.8%となり、市場予想の+3.7%を上回りました。前月からほぼ横ばいでした。3

コアCPIは3ヶ月連続で市場予想を上回る伸びとなり、インフレ圧力が再度強まっていることが示唆されています。4
内訳をみると、食品は+0.1%と上昇し、エネルギーは+1.1%と上昇しました。一方、コア財は-0.1%と減少しましたが、サービス(エネルギー除く)は+0.52%と上昇ペースが続いています。3
特に、FRBが注目する「スーパーコア」(コアサービス価格から住居費を除いた指標)は前月比+0.65%と上昇ペースが加速しており、利下げ開始の時期が後ずれする可能性があります。3",['2024年3月の日本のCPIは2.8%'],['2.80%'],0.5311248573274059,False
"{'id': 9, 'scene': 'real_time_news', 'source': 'https://github.com/sparticleinc/CRED/blob/main/datasets/real_time_news.csv', 'language': 'ja'}",今年はどの国で日食が見られますか。,"2023年と2024年に以下の国々で日食が見られます:

2023年4月20日 - 金環皆既日食がインド洋、東ティモール、インドネシア、太平洋で見られます14。
2023年10月14日 - 金環日食がアメリカ合衆国、メキシコ、ホンジュラス、ニカラグア、パナマ、コロンビア、ブラジルで見られます14。
2024年4月8日 - 皆既日食がスロベニアで見られます5。

これらの日食は、それぞれの地域で重要な出来事や変化の前兆を意味すると考えられています5。",['2024年4月8日:\nメキシコ、アメリカ合衆国、カナダ: 皆既日食が観測される予定です'],['メキシコ||アメリカ合衆国||カナダ'],0.542009414412177,False
"{'id': 10, 'scene': 'real_time_news', 'source': 'https://github.com/sparticleinc/CRED/blob/main/datasets/real_time_news.csv', 'language': 'zh-cn'}",海康威视去年的业绩如何,"根据搜索结果,海康威视2022年的业绩如下:

2022年实现营收约831.66亿元,同比增长2.14%。45
归母净利润约128.37亿元,同比下降23.59%。4
扣非归母净利润约123.3亿元,同比下降25.02%。4
2022年第四季度实现营业收入约234.4亿元,同比下降约9.1%；归母净利润约39.97亿元,同比下降约31.5%；扣非归母净利润约38.05亿元,同比下降33.8%。4
2023年一季度实现营业收入约162.01亿元,比上年同期减少1.94%；归母净利润约18.11亿元,比上年同期减少20.69%；扣非归母净利润约15.54亿元,比上年同期减少29.67%。4

总的来说,海康威视2022年业绩有所下滑,归母净利润和扣非归母净利润同比均出现较大幅度下降。45",['在2023年，海康威视的业绩恢复增长，公司实现了营业收入893.55亿元，同比增长7.44%，净利润为141.17亿元，同比增长9.96%。'],"['2023', '893.55']",0.5665899645559088,False
"{'id': 11, 'scene': 'real_time_news', 'source': 'https://github.com/sparticleinc/CRED/blob/main/datasets/real_time_news.csv', 'language': 'en'}",How many Israelis died in the attack launched by Iran?,"According to the search results, the Iranian attack on Israel on April 13 resulted in only one Israeli casualty3. The search results indicate that despite Iran launching over 300 ballistic missiles, drones, and cruise missiles at Israel, there was minimal damage to Israeli infrastructure and military assets4. The Israeli air defense systems, with support from the United States, United Kingdom, France, and Jordan, were able to successfully intercept the majority of the Iranian projectiles34.","['According to the reports, there were no reported fatalities from the Iranian attack on Israel']",['no casualties'],0.515286798618828,False
